framenumber,feature0,feature1,feature2,feature3,feature4,feature5
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.000000,0.000000,3.819544,0.000000,0.000000,0.000000
11,3.787632,3.362024,4.209515,3.612784,0.000000,0.000000
12,2.067173,0.000000,2.698970,2.000000,0.000000,0.000000
13,2.662989,0.000000,2.845098,2.602060,0.000000,0.000000
14,0.000000,0.000000,3.230449,0.000000,0.000000,0.000000
15,0.000000,4.092817,3.079181,0.000000,0.000000,0.000000
16,0.000000,4.474914,3.707570,0.000000,0.000000,0.000000
17,3.965702,3.442818,3.414973,3.880814,0.000000,0.000000
18,4.222502,4.930732,4.000000,4.143015,0.000000,0.000000
19,4.271635,5.040431,3.959041,4.190332,0.000000,0.000000
20,0.000000,0.000000,0.000000,0.000000,0.805556,0.857584
21,2.479913,0.000000,0.000000,2.301030,0.972222,0.099376
22,0.000000,2.982803,3.230449,0.000000,0.000000,0.000000
23,0.000000,0.000000,2.954242,0.000000,0.000000,0.000000
24,0.000000,4.247985,3.342423,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26,0.000000,3.206773,2.477121,0.000000,0.347222,0.444658
27,0.000000,0.000000,2.477121,0.000000,0.000000,0.000000
28,0.000000,3.241136,2.477121,0.000000,0.000000,0.000000
29,2.115676,3.794420,3.518514,2.000000,0.000000,0.000000
30,0.000000,4.606934,3.643453,0.000000,0.000000,0.000000
31,3.831095,4.562782,3.857332,3.770852,0.527778,0.386379
32,3.404127,5.354538,3.602060,3.255272,0.000000,0.000000
33,2.991548,5.308462,3.681241,2.903090,0.000000,0.000000
34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,0.000000,3.861921,3.361728,0.000000,0.000000,0.000000
45,2.101035,4.089268,3.176091,2.000000,0.000000,0.000000
46,0.000000,3.861429,3.255272,0.000000,0.000000,0.000000
47,2.367024,0.000000,2.301030,2.301030,0.847222,0.183697
48,2.160025,0.000000,0.000000,2.000000,0.000000,0.000000
49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,0.000000,3.141358,2.602060,0.000000,0.444444,0.382677
51,0.000000,4.307532,3.146128,0.000000,0.000000,0.000000
52,0.000000,4.392521,3.397940,0.000000,0.000000,0.000000
53,2.121322,4.768002,3.568202,2.000000,0.000000,0.000000
54,0.000000,4.282698,3.255272,0.000000,0.000000,0.000000
55,2.058196,3.057353,2.954242,2.000000,0.000000,0.000000
56,2.037547,2.743294,2.845098,2.000000,0.000000,0.000000
57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,0.000000,4.197264,3.278754,0.000000,0.375000,0.413652
59,0.000000,3.508014,2.602060,0.000000,0.000000,0.000000
60,0.000000,0.000000,2.698970,0.000000,0.000000,0.000000
61,2.072047,5.080499,3.724276,2.000000,0.000000,0.000000
62,0.000000,4.237140,3.544068,0.000000,0.000000,0.000000
63,0.000000,3.219903,2.845098,0.000000,0.000000,0.000000
64,2.371729,4.379511,3.301030,2.301030,0.000000,0.000000
65,0.000000,3.844903,3.146128,0.000000,0.000000,0.000000
66,0.000000,0.000000,2.602060,0.000000,0.375000,0.259856
67,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000
68,0.000000,4.367563,3.176091,0.000000,0.000000,0.000000
69,0.000000,0.000000,0.000000,0.000000,0.319444,0.287421
70,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,0.000000,4.151667,3.491362,0.000000,0.000000,0.000000
72,0.000000,0.000000,2.301030,0.000000,0.000000,0.000000
73,2.108152,0.000000,2.954242,2.000000,0.000000,0.000000
74,0.000000,0.000000,2.602060,0.000000,0.000000,0.000000
75,0.000000,0.000000,3.477121,0.000000,0.000000,0.000000
76,0.000000,3.614152,3.230449,0.000000,0.000000,0.000000
77,0.000000,3.453138,3.518514,0.000000,0.000000,0.000000
78,0.000000,4.586442,2.903090,0.000000,0.361111,0.395832
79,0.000000,3.128374,2.845098,0.000000,0.000000,0.000000
80,0.000000,0.000000,3.556303,0.000000,0.000000,0.000000
81,0.000000,4.121447,3.568202,0.000000,0.000000,0.000000
82,0.000000,0.000000,4.195899,0.000000,0.000000,0.000000
83,0.000000,0.000000,3.361728,0.000000,0.000000,0.000000
84,0.000000,0.000000,3.000000,0.000000,0.000000,0.000000
85,0.000000,0.000000,3.462398,0.000000,0.000000,0.000000
86,2.322638,0.000000,3.732394,2.301030,0.000000,0.000000
87,0.000000,4.138747,3.707570,0.000000,0.000000,0.000000
88,0.000000,0.000000,3.397940,0.000000,0.000000,0.000000
89,2.322924,3.016378,3.959041,2.301030,0.000000,0.000000
90,0.000000,0.000000,2.778151,0.000000,0.000000,0.000000
91,0.000000,3.555308,3.380211,0.000000,0.000000,0.000000
92,0.000000,3.501355,3.322219,0.000000,0.000000,0.000000
93,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
96,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
97,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
98,3.792963,4.474740,3.949390,3.556303,0.000000,0.000000
99,3.249833,3.101450,3.414973,3.113943,0.000000,0.000000
100,3.126081,4.976515,3.643453,3.079181,0.000000,0.000000
101,3.066802,4.022881,3.568202,2.954242,0.000000,0.000000
102,3.085397,5.172774,3.857332,3.041393,0.000000,0.000000
103,3.452526,4.822136,3.698970,3.361728,0.000000,0.000000
104,3.362976,4.155382,4.247973,3.176091,0.000000,0.000000
105,3.495610,5.372818,4.120574,3.301030,0.000000,0.000000
106,3.147118,4.406770,3.770852,2.954242,0.000000,0.000000
107,3.124169,0.000000,3.230449,3.041393,0.972222,0.178744
108,3.277234,3.266757,3.544068,3.204120,0.000000,0.000000
109,3.176270,3.534524,2.845098,3.079181,0.000000,0.000000
110,3.169990,0.000000,3.041393,3.079181,0.000000,0.000000
111,3.067552,0.000000,2.903090,2.954242,0.000000,0.000000
112,3.200495,4.873447,4.103804,3.041393,0.000000,0.000000
113,3.212101,5.007510,4.082786,3.041393,0.000000,0.000000
114,3.196887,5.488271,4.064458,3.041393,0.000000,0.000000
115,3.536646,0.000000,2.000000,3.380211,0.000000,0.000000
116,3.076485,5.234347,3.579784,2.954242,0.000000,0.000000
117,3.086995,3.213075,3.176091,2.954242,0.000000,0.000000
118,3.186045,3.562363,3.255272,3.041393,0.000000,0.000000
119,3.429516,4.226499,3.113943,3.322219,0.000000,0.000000
120,3.381819,4.617060,3.924279,3.079181,0.000000,0.000000
121,3.420303,0.000000,2.000000,3.113943,0.000000,0.000000
122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
128,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
129,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
132,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
133,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
