framenumber,feature0,feature1,feature2
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,6.000000,0.120036,0.032670
11,10.000000,0.181714,0.021581
12,0.000000,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,10.000000,0.075234,0.052125
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,12.000001,0.356623,0.010996
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,58.000000,0.857584,0.004573
21,70.000000,0.099376,0.039462
22,0.000000,0.000000,0.000000
23,0.000000,0.000000,0.000000
24,0.000000,0.000000,0.000000
25,0.000000,0.000000,0.000000
26,25.000002,0.444658,0.008819
27,0.000000,0.000000,0.000000
28,0.000000,0.000000,0.000000
29,0.000000,0.000000,0.000000
30,6.000000,0.225202,0.017414
31,38.000000,0.386379,0.010150
32,0.000000,0.000000,0.000000
33,0.000000,0.000000,0.000000
34,0.000000,0.000000,0.000000
35,0.000000,0.000000,0.000000
36,0.000000,0.000000,0.000000
37,0.000000,0.000000,0.000000
38,0.000000,0.000000,0.000000
39,0.000000,0.000000,0.000000
40,0.000000,0.000000,0.000000
41,0.000000,0.000000,0.000000
42,0.000000,0.000000,0.000000
43,0.000000,0.000000,0.000000
44,15.000000,0.692375,0.005664
45,15.000000,0.146362,0.026794
46,0.000000,0.000000,0.000000
47,61.000000,0.183697,0.021348
48,0.000000,0.000000,0.000000
49,0.000000,0.000000,0.000000
50,32.000000,0.382677,0.010248
51,0.000000,0.000000,0.000000
52,17.000000,0.186064,0.021076
53,14.000001,0.187231,0.020945
54,0.000000,0.000000,0.000000
55,0.000000,0.000000,0.000000
56,14.000001,0.469910,0.008345
57,0.000000,0.000000,0.000000
58,27.000002,0.413652,0.009480
59,24.000002,0.095207,0.041190
60,0.000000,0.000000,0.000000
61,0.000000,0.000000,0.000000
62,0.000000,0.000000,0.000000
63,0.000000,0.000000,0.000000
64,20.000000,0.434088,0.009034
65,0.000000,0.000000,0.000000
66,27.000002,0.259856,0.015091
67,0.000000,0.000000,0.000000
68,0.000000,0.000000,0.000000
69,23.000002,0.287421,0.013644
70,0.000000,0.000000,0.000000
71,0.000000,0.000000,0.000000
72,8.000000,0.067974,0.057692
73,9.000000,0.110473,0.035498
74,0.000000,0.000000,0.000000
75,0.000000,0.000000,0.000000
76,6.000000,0.137586,0.028503
77,12.000001,0.103539,0.037875
78,26.000002,0.395832,0.009907
79,0.000000,0.000000,0.000000
80,7.000000,0.068053,0.057625
81,0.000000,0.000000,0.000000
82,23.000002,0.075137,0.052192
83,10.000000,0.087822,0.044653
84,7.000000,0.070087,0.055953
85,0.000000,0.000000,0.000000
86,12.000001,0.080132,0.048939
87,6.000000,0.115747,0.033881
88,7.000000,0.083481,0.046975
89,25.000002,0.084277,0.046532
90,11.000000,0.080435,0.048754
91,0.000000,0.000000,0.000000
92,0.000000,0.000000,0.000000
93,0.000000,0.000000,0.000000
94,0.000000,0.000000,0.000000
95,0.000000,0.000000,0.000000
96,0.000000,0.000000,0.000000
97,0.000000,0.000000,0.000000
98,18.000000,0.253914,0.015444
99,0.000000,0.000000,0.000000
100,8.000000,0.245658,0.015964
101,0.000000,0.000000,0.000000
102,0.000000,0.000000,0.000000
103,0.000000,0.000000,0.000000
104,0.000000,0.000000,0.000000
105,9.000000,0.232455,0.016870
106,0.000000,0.000000,0.000000
107,70.000000,0.178744,0.021940
108,0.000000,0.000000,0.000000
109,0.000000,0.000000,0.000000
110,0.000000,0.000000,0.000000
111,0.000000,0.000000,0.000000
112,0.000000,0.000000,0.000000
113,0.000000,0.000000,0.000000
114,0.000000,0.000000,0.000000
115,0.000000,0.000000,0.000000
116,19.000000,0.427358,0.009176
117,7.000000,0.160536,0.024428
118,6.000000,0.391772,0.010010
119,0.000000,0.000000,0.000000
120,13.000001,0.514882,0.007616
121,11.000000,0.802370,0.004887
122,0.000000,0.000000,0.000000
123,0.000000,0.000000,0.000000
124,0.000000,0.000000,0.000000
125,0.000000,0.000000,0.000000
126,0.000000,0.000000,0.000000
127,0.000000,0.000000,0.000000
128,0.000000,0.000000,0.000000
129,0.000000,0.000000,0.000000
130,0.000000,0.000000,0.000000
131,0.000000,0.000000,0.000000
132,0.000000,0.000000,0.000000
133,0.000000,0.000000,0.000000
